Acav,S,mu
(-0.0029561804435991193+0.0015635749333530733j),-54.76745916532505,-30.0
(-0.0028922964158463135-0.0011289288978588315j),-35.516553771673934,-29.0
(-0.0017020435536107693-0.0024081036127766462j),-28.983383855465064,-28.0
(-0.0010182191408351794-0.0009891665380491958j),-26.39412946618717,-27.0
(-0.0018736518494665289+0.00153930282252262j),-26.75931715156088,-26.0
(-0.0033651313099725987+0.002484734394461999j),-30.781277361689053,-25.0
(-0.003618589230076264+0.0009900077564772766j),-44.310997299996,-24.0
(-0.002081632731550573-0.001120209118143062j),-40.517554516766765,-23.0
(-0.00036577730980496154-0.0016150350509559102j),-27.258148455917926,-22.0
(-0.0005026729741788129-0.00024054543643511203j),-21.939033153639265,-21.0
(-0.0025788285336840943+0.0012707833919348645j),-20.195970942293627,-20.0
(-0.004420347756898652+0.0012666995686737112j),-21.40978002663899,-19.0
(-0.003960374884921125+5.4437200775532844e-05j),-26.89550899789807,-18.0
(-0.0016048321248394429-0.0007144110071815885j),-49.69806806613666,-17.0
(0.00019506825922017832-0.00017894008353739807j),-29.31299041003292,-16.0
(-0.00047072130192387453+0.0007943689110483267j),-19.413062590942417,-15.0
(-0.0029048052428804192+0.0007772962608502605j),-15.244965829859268,-14.0
(-0.00453499541210161-0.0002947520876366066j),-14.34369673289511,-13.0
(-0.0037431305921427696-0.0009719734208307844j),-16.790431949137705,-12.0
(-0.0014791203552263366-0.00019944594282350064j),-24.521223154906036,-11.0
(-0.00015506191421852829+0.0012862226787532702j),-53.08180471240388,-10.0
(-0.0010529778451973642+0.0016986672135892065j),-20.949099426418723,-9.0
(-0.0029561078056893017+0.00032732181764085557j),-13.41854532254959,-8.0
(-0.0037485074907024993-0.0014634428646969765j),-10.465684474992663,-7.0
(-0.002835141741573336-0.0016800528068390654j),-10.525824039029722,-6.0
(-0.0015251686132940936+0.00011091565847578795j),-13.88893188081731,-5.0
(-0.001332092484240937+0.0021403137194747597j),-23.79613604467331,-4.0
(-0.0021920139480270514+0.002200129526479915j),-35.05585293089472,-3.0
(-0.0027909516144110466+0.00013698630377241732j),-16.254565982055013,-2.0
(-0.0023891073031240976-0.0019170211545379554j),-10.272013540187402,-1.0
(-0.0016323976104023626-0.0018071855672494167j),27.418873953155085,0.0
(-0.0016836921770985811+0.0003251119267781113j),-9.675438485021628,1.0
(-0.002681644930171808+0.002187303289133034j),-14.15818545794763,2.0
(-0.0033759077513513553+0.0019231249913500084j),-27.088931846974287,3.0
(-0.0026941310037197513+7.666008338701277e-06j),-29.100172535976284,4.0
(-0.0011772918349706163-0.0014745425430011904j),-15.405604105363787,5.0
(-0.0005311211401987929-0.0010847416885162498j),-10.952921732304858,6.0
(-0.0017194777107237718+0.00047150358108565633j),-10.14979369674667,7.0
(-0.0036448036758635564+0.0013908746474815682j),-12.29561538967307,8.0
(-0.004219898323285802+0.0009066091857163373j),-18.36729227274785,9.0
(-0.0026805097706688644-0.0001253725594369143j),-36.40396825579907,10.0
(-0.0005141924112569816-0.00041261375781685705j),-27.17231446546189,11.0
(1.1773331363225705e-06+0.0001879922241870576j),-17.155479014951837,12.0
(-0.0017246879749029708+0.0006197603117522545j),-14.009890995849055,13.0
(-0.003908637131988654+0.0002190785665120238j),-14.360463334534273,14.0
(-0.004302583207906088-0.0004469898674144868j),-17.694119662100512,15.0
(-0.002559519463037445-0.00034512237209931496j),-25.69624694679158,16.0
(-0.0005913986589548648+0.0006824640245208401j),-64.44060491969655,17.0
(-0.0003869438253070738+0.001473915369077018j),-28.296972019984338,18.0
(-0.001901346373892979+0.0008805101013758177j),-21.144920591536682,19.0
(-0.0034082700765403194-0.0007228303674833802j),-19.08017270563561,20.0
(-0.003448048002039323-0.0016396012522139564j),-20.174611217623045,21.0
(-0.0022777445780862485-0.0006521496068188312j),-24.199054090083905,22.0
(-0.0013539051362054279+0.001387456458654154j),-34.1435073696168,23.0
(-0.0015325130263155223+0.0023224464636795146j),-52.888101507907905,24.0
(-0.002274235632442899+0.0010824473940460324j),-30.958356049047353,25.0
(-0.002517859097398704-0.0011512381867373575j),-25.452212904429697,26.0
(-0.002067358765478288-0.0020936265823015944j),-24.172899426054347,27.0
(-0.001799747760880158-0.0007515501455553955j),-25.84306736691795,28.0
(-0.0022938920628295255+0.0014670322852727291j),-30.96905702789808,29.0
(-0.002976615480465192+0.002294995485325091j),-44.06631829383936,30.0
(-0.002840393802251725+0.000989466915961713j),-47.56604928108277,31.0
(-0.0017127324880652195-0.0009580681355694615j),-33.969303761321186,32.0
(-0.0007483788646122269-0.0015467084407343858j),-29.80307759834645,33.0
(-0.001225299979575938-0.0004381037817618881j),-29.279627570896373,34.0
(-0.002915656571692658+0.00098195583825467j),-31.691186008480148,35.0
(-0.004133760305146383+0.0013040604609051874j),-38.06784661108832,36.0
(-0.0034199702061233858+0.0005137424657796925j),-57.14324047176674,37.0
(-0.0012956387242345309-0.00026882999890041003j),-46.696900813144104,38.0
(3.875457788377605e-05-0.00027412993867108256j),-37.09748756996955,39.0
(-0.000872082843102653+0.00018090907637703988j),-34.02052883803452,40.0
(-0.003132523570113101+0.0003074311872119647j),-34.21559208636534,41.0
(-0.004440751543482284-9.085029309416824e-05j),-37.43235233392606,42.0
(-0.0035003443415980015-0.000278517338982523j),-45.4279134252589,43.0
(-0.0013731413116927324+0.0003288742767337401j),-81.02569934765084,44.0
(-0.00021319491469633172+0.0011668755727724976j),-47.20660109689949,45.0
(-0.0010260568953287385+0.001094571360799463j),-40.101030677034885,46.0
(-0.002812538595579073-0.0001786045093125545j),-37.96757045811219,47.0
(-0.003725957896413933-0.001416370355387169j),-38.888020484203956,48.0
(-0.00305865567046558-0.0011059378565723482j),-43.04686105275599,49.0
(-0.0017946805680565017+0.0006684382299132558j),-53.46947705216226,50.0
(-0.00127128150544783+0.0021817013439400005j),-67.15943409539153,51.0
(-0.0017376351690512953+0.001776633263325168j),-48.19268819650672,52.0
(-0.0023381139526378798-0.000320833436264194j),-42.86383968299725,53.0
(-0.002378606719300444-0.0019953584703245805j),-41.58516915189851,54.0
(-0.002114971808865614-0.001509739013939217j),-43.26582883819952,55.0
(-0.002194055821935239+0.0006355293924815042j),-48.59088171682559,56.0
