Acav,S,mu
(-0.0038664958468335874-0.00021203943353175305j),-34.73991887545762,-34.0
(-0.002411640424054913-0.00018165509330216444j),-43.47689134659263,-33.0
(-0.0006598479249660548+0.0004462580246479456j),-59.638190431860565,-32.0
(-0.0006643510899283436+0.001084318803515561j),-36.61831481819782,-31.0
(-0.00214126366697571+0.000945138287083788j),-29.43624894774835,-30.0
(-0.0032211927969997773-0.00017299552713466654j),-26.270284741549194,-29.0
(-0.0029683054815679336-0.0012155890464223293j),-25.779452739367393,-28.0
(-0.002091110625878741-0.0007525372821790537j),-28.133710042840793,-27.0
(-0.0016117948785689812+0.0010326753137923513j),-35.53689471465012,-26.0
(-0.0018142843903163758+0.0020878390451948723j),-68.1293682508136,-25.0
(-0.002340286531903439+0.0009930253711160453j),-32.1409407033985,-24.0
(-0.0025885364056107757-0.0009993621871483423j),-24.040567712314903,-23.0
(-0.00221862733368695-0.0015798563032840124j),-20.42109531987959,-22.0
(-0.0017307332833456385-0.0002786536995947378j),-19.557684672523937,-21.0
(-0.0020328065979073238+0.0012861738301421315j),-21.451937813380688,-20.0
(-0.0029781777043347613+0.0015839106691501095j),-27.82579007874538,-19.0
(-0.003178732934436721+0.00061908611524212j),-61.13123508156741,-18.0
(-0.0019903383374602337-0.0005783135304425175j),-27.95317494732069,-17.0
(-0.000829539877436162-0.0009696292359816832j),-18.856260095940954,-16.0
(-0.0013390612335120564-0.00019760491457163561j),-14.851115883231802,-15.0
(-0.003022069777385196+0.0009095353179811935j),-13.722635052699495,-14.0
(-0.0038943001544306816+0.0010549378923698195j),-15.30204666883994,-13.0
(-0.0030531478898905293+0.00014738922615777458j),-20.95598408997939,-12.0
(-0.0014998552035733422-0.0004612006164434676j),-42.82245485716156,-11.0
(-0.000732576348996795+7.196851574621443e-05j),-24.777712003048887,-10.0
(-0.0013938578341069993+0.0007680072908146918j),-14.77164651416792,-9.0
(-0.0029267119621417645+0.00042673700590719634j),-10.611204945132924,-8.0
(-0.003885627020366129-0.0004366228257845989j),-9.484005616385135,-7.0
(-0.0031929666670648927-0.0004736710048961094j),-11.063494367089287,-6.0
(-0.0015069148822891008+0.0004933612568247788j),-16.419680254554486,-5.0
(-0.00073492565968615+0.0013102545822247457j),-33.46270103696851,-4.0
(-0.0017046245455544409+0.0010453852834992983j),-24.563575337629025,-3.0
(-0.0030617272893980136-1.4067067601833381e-05j),-13.507839875353838,-2.0
(-0.0031406609339365735-0.0008593794121246065j),-9.343068878071854,-1.0
(-0.0021910045674742615-0.0006327482482385892j),26.292510724921115,0.0
(-0.0016472898359094891+0.0007666185807116379j),-10.110014805058684,1.0
(-0.001932404998539942+0.0021454774350943575j),-15.384277612262766,2.0
(-0.002264426918311968+0.0019206596651745761j),-29.974929344681158,3.0
(-0.00210864962077226+0.00022094416566706944j),-27.992025609567193,4.0
(-0.001687546017823797-0.0009028204802184116j),-15.696667746418036,5.0
(-0.0014618467304668844+2.268353881786248e-05j),-11.46276788884936,6.0
